,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
Country,Data Source,Beverage Types,2013,2012,2011
Afghanistan,Data source,All types,0.01,0.01,0.01
Albania,Data source,All types,4.76,5.14,5.37
Algeria,Data source,All types,0.53,0.66,0.56
Andorra,Data source,All types,9.98,10.28,10.57
Angola,Data source,All types,8.1,8.24,8.06
Antigua and Barbuda,Data source,All types,8.58,8.18,7.84
Argentina,Data source,All types,8.28,8.35,8.11
Armenia,Data source,All types,3.79,3.89,4.09
Australia,Data source,All types,9.87,10.03,10.3
Austria,Data source,All types,11.82,12.26,12.04
Azerbaijan,Data source,All types,2.14,,1.98
Bahamas,Data source,All types,9.42,9.5,9.34
Bahrain,Data source,All types,1.65,1.7,1.66
Bangladesh,Data source,All types,0.01,0.01,0.01
Barbados,Data source,All types,8.74,8.61,8.51
Belarus,Data source,All types,14.66,16.35,17.31
Belgium,Data source,All types,11.77,10.08,10.11
Belize,Data source,All types,6.56,6.66,6.64
Benin,Data source,All types,,,1.4
Bhutan,Data source,All types,,,0.23
Bolivia (Plurinational State of),Data source,All types,3.78,3.89,3.93
Bosnia and Herzegovina,Data source,All types,4.12,4.61,4.64
Botswana,Data source,All types,,,5.76
Brazil,Data source,All types,7.24,7.55,7.58
Brunei Darussalam,Data source,All types,,,0.97
Bulgaria,Data source,All types,12.06,10.99,10.67
Burkina Faso,Data source,All types,4.64,4.75,4.51
Burundi,Data source,All types,,,4.16
Cote d'Ivoire,Data source,All types,3.15,3.24,3.13
Cabo Verde,Data source,All types,,,5.07
Cambodia,Data source,All types,,,2.12
Cameroon,Data source,All types,,,6.19
Canada,Data source,All types,8.2,8.3,8.2
Central African Republic,Data source,All types,,,1.66
Chad,Data source,All types,0.64,0.62,0.56
Chile,Data source,All types,7.2,6.76,7.26
China,Data source,All types,5.79,5.74,5.63
Colombia,Data source,All types,4.41,4.44,4.37
Comoros,Data source,All types,,,0.12
Congo,Data source,All types,,,3.82
Cook Islands,Data source,All types,,,6.36
Costa Rica,Data source,All types,3.42,3.34,3.41
Croatia,Data source,All types,12.39,11.49,12.19
Cuba,Data source,All types,4.18,4.16,4.14
Cyprus,Data source,All types,9.04,10.55,10.69
Czech Republic,Data source,All types,12.45,12.71,12.43
Democratic People's Republic of Korea,Data source,All types,3.35,3.61,3.39
Democratic Republic of the Congo,Data source,All types,,,1.82
Denmark,Data source,All types,9.5,9.26,10.47
Djibouti,Data source,All types,0.53,0.52,0.39
Dominica,Data source,All types,,,5.46
Dominican Republic,Data source,All types,5.93,5.93,5.91
Ecuador,Data source,All types,3.77,3.92,3.99
Egypt,Data source,All types,0.21,0.23,0.22
El Salvador,Data source,All types,2.42,2.48,2.37
Equatorial Guinea,Data source,All types,10.72,11.89,10.99
Eritrea,Data source,All types,,,0.62
Estonia,Data source,All types,,,
Ethiopia,Data source,All types,1.86,1.84,1.32
Fiji,Data source,All types,,,
Finland,Data source,All types,8.97,9.24,9.81
France,Data source,All types,11.1,11.5,11.8
Gabon,Data source,All types,8.86,8.3,8.9
Gambia,Data source,All types,,,3.41
Georgia,Data source,All types,5.91,7.71,8.14
Germany,Data source,All types,10.94,11.18,11.2
Ghana,Data source,All types,,,1.64
Greece,Data source,All types,7.46,8.2,8.02
Grenada,Data source,All types,8.25,8.07,7.84
Guatemala,Data source,All types,1.93,2.02,2.16
Guinea,Data source,All types,,,0.22
Guinea-Bissau,Data source,All types,,,3.57
Guyana,Data source,All types,7.56,7.57,7.56
Haiti,Data source,All types,5.68,5.68,5.68
Honduras,Data source,All types,3.11,3.11,3.1
Hungary,Data source,All types,10.88,11.27,11.51
Iceland,Data source,All types,7.31,7.81,8.13
India,Data source,All types,3.11,3.1,3
Indonesia,Data source,All types,0.09,0.08,0.08
Iran (Islamic Republic of),Data source,All types,,,0.03
Iraq,Data source,All types,,,0.17
Ireland,Data source,All types,10.49,11.49,11.72
Israel,Data source,All types,2.69,2.78,2.67
Italy,Data source,All types,7.35,7.49,6.98
Jamaica,Data source,All types,3.79,3.65,3.58
Japan,Data source,All types,7.55,7.39,7.39
Jordan,Data source,All types,0.4,0.41,0.43
Kazakhstan,Data source,All types,6.48,6.82,6.63
Kenya,Data source,All types,1.84,1.81,1.8
Kiribati,Data source,All types,,,0.53
Kuwait,Data source,All types,,,0.02
Kyrgyzstan,Data source,All types,,,3.28
Lao People's Democratic Republic,Data source,All types,,,5.39
Latvia,Data source,All types,10.37,10.21,10.14
Lebanon,Data source,All types,1.29,1.53,1.57
Lesotho,Data source,All types,,,0.61
Liberia,Data source,All types,,,0.01
Libya,Data source,All types,,,0
Lithuania,Data source,All types,15.04,15.14,12.66
Luxembourg,Data source,All types,11.02,11.34,11.5
Madagascar,Data source,All types,0.87,0.87,0.97
Malawi,Data source,All types,,,1.23
Malaysia,Data source,All types,0.53,0.53,0.51
Maldives,Data source,All types,,,1.92
Mali,Data source,All types,,,0.61
Malta,Data source,All types,8.58,7.67,6.91
Marshall Islands,,All types,,,
Marshall Islands,Data source,All types,,,
Mauritania,Data source,All types,,,0.01
Mauritius,Data source,All types,,,3.03
Mexico,Data source,All types,5.23,5.29,5.3
Micronesia (Federated States of),Data source,All types,1.67,2.98,1.89
Monaco,,All types,,,
Monaco,Data source,All types,,,
Mongolia,Data source,All types,,,
Montenegro,,All types,,,
Montenegro,Data source,All types,,,6.56
Morocco,Data source,All types,0.45,0.55,0.54
Mozambique,Data source,All types,1.16,1.19,0.94
Myanmar,Data source,All types,0.7,0.55,0.33
Namibia,Data source,All types,,,7.84
Nauru,Data source,All types,,,
Nepal,Data source,All types,0.27,0.26,0.27
Netherlands,Data source,All types,8.68,9.05,8.96
New Zealand,Data source,All types,9.18,9.2,9.47
Nicaragua,Data source,All types,3.58,3.63,3.39
Niger,Data source,All types,,,0.15
Nigeria,Data source,All types,8.3,8.54,8.75
Niue,Data source,All types,,,5.99
Norway,Data source,All types,6.21,6.21,6.53
Oman,Data source,All types,0.46,0.51,0.54
Pakistan,Data source,All types,0.04,0.04,0.04
Palau,Data source,All types,,,
Panama,Data source,All types,6.89,6.95,6.9
Papua New Guinea,Data source,All types,,,0.88
Paraguay,Data source,All types,5.03,5.36,5.79
Peru,Data source,All types,5.38,5.14,4.83
Philippines,Data source,All types,4.61,5.02,4.96
Poland,Data source,All types,11.63,10.81,10.93
Portugal,Data source,All types,10,11.96,11.92
Qatar,Data source,All types,1.2,1.13,1.16
Republic of Korea,Data source,All types,9.33,9.56,9.34
Republic of Moldova,Data source,All types,10.49,10.68,9.45
Romania,Data source,All types,9.59,9.58,9.1
Russian Federation,Data source,All types,10.58,10.99,11.04
Rwanda,Data source,All types,,,8.34
Saint Kitts and Nevis,Data source,All types,8.54,8.47,8.28
Saint Lucia,Data source,All types,9.73,9.99,10.43
Saint Vincent and the Grenadines,Data source,All types,7.07,6.93,7.02
Samoa,Data source,All types,,,2.15
San Marino,,All types,,,
San Marino,Data source,All types,,,
Sao Tome and Principe,Data source,All types,,,5.69
Saudi Arabia,Data source,All types,0.09,0.09,0.09
Senegal,Data source,All types,0.26,0.28,0.32
Serbia,Data source,All types,9.16,9.38,9.56
Seychelles,Data source,All types,,,9.72
Sierra Leone,Data source,All types,,,3.78
Singapore,Data source,All types,1.83,1.89,1.8
Slovakia,Data source,All types,9.89,10.12,10.24
Slovenia,Data source,All types,9.53,10.95,10.61
Solomon Islands,Data source,All types,,,0.99
Somalia,Data source,All types,,,0
South Africa,Data source,All types,7.34,7.38,7.38
Spain,Data source,All types,9.25,9.35,9.62
Sri Lanka,Data source,All types,2.56,2.8,3.03
Sudan,Data source,All types,,,2.12
Suriname,Data source,All types,6.02,5.73,5.64
Swaziland,Data source,All types,,,5.2
Sweden,Data source,All types,7.3,7.4,7.4
Switzerland,Data source,All types,9.73,9.86,9.99
Syrian Arab Republic,Data source,All types,,,0.76
Tajikistan,Data source,All types,,,0.32
Thailand,Data source,All types,6.5,6.56,6.07
The former Yugoslav republic of Macedonia,Data source,All types,1.03,1.23,1.16
Timor-Leste,Data source,All types,,,0.5
Togo,Data source,All types,,,1.44
Tonga,Data source,All types,,,0.96
Trinidad and Tobago,Data source,All types,6.71,6.7,6.5
Tunisia,Data source,All types,1.29,1.3,1.29
Turkey,Data source,All types,1.41,1.54,1.53
Turkmenistan,Data source,All types,2.93,2.75,2.55
Tuvalu,Data source,All types,,,1.34
Uganda,Data source,All types,,,10.22
Ukraine,Data source,All types,8.44,8.44,8.48
United Arab Emirates,Data source,All types,1.82,1.75,1.73
United Kingdom of Great Britain and Northern Ireland,Data source,All types,10.32,10.42,10.68
United Republic of Tanzania,Data source,All types,4.2,3.98,4.04
United States of America,Data source,All types,8.82,8.82,8.67
Uruguay,Data source,All types,5.82,5.77,5.97
Uzbekistan,Data source,All types,,,2.83
Vanuatu,Data source,All types,,,0.85
Venezuela (Bolivarian Republic of),Data source,All types,6.71,6.7,6.74
Viet Nam,Data source,All types,4,4.12,3.94
Yemen,Data source,All types,0.04,0.04,0.04
Zambia,Data source,All types,2.41,2.59,2.57
Zimbabwe,Data source,All types,6.39,6.09,6